param,value,description
常驻刷新日,7,常驻场每隔多少游戏日刷新一批拍品（S34-P0后改为单件到期即补，此参数保留兼容）
常驻拍品数,8,常驻场保持的拍品数量（S34-P0优化：6→8，选择更丰富）
常驻时长日,30,单件常驻拍品的竞拍持续天数（S34-P0优化：5→30天=2真实小时，给玩家足够时间参与）
大拍周期日,365,每隔多少游戏日触发一次大拍（S34-P0优化：90→365天=约24真实小时，每天一次有期待感）
大拍拍品数,12,大拍拍品数量（S34-P0优化：8→12，盛会更丰富）
大拍时长日,30,单件大拍拍品的竞拍持续天数（S34-P0优化：7→30天=2真实小时）
起拍系数下限,0.6,起拍价=基准估值×随机[下限,上限]
起拍系数上限,1.0,起拍价上限系数
溢价系数下限,1.2,大拍成交溢价倍率范围（120%-200%），用于全服播报风味
溢价系数上限,2.0,大拍成交溢价倍率上限
流拍系数,0.9,保留价=基准估值×流拍系数，低于则流拍
佣金率,0.05,买家成交时基础佣金率（S34-P0后按等级调整：Lv1=5%→Lv5=3%）
AI数量,3,每件拍品参与的AI竞拍者数量
AI估值系数下限,0.8,AI隐藏估值=基准估值×身份valuation_mod×随机[下限,上限]
AI估值系数上限,2.0,AI隐藏估值系数上限
决策窗口日,3,玩家出价后AI应价的展示缓冲天数（风味）
大拍基准倍率,1.8,大拍拍品基准估值额外乘此倍率（S34-P0优化：1.6→1.8，大拍物品更稀有）
