skin_id,name,rarity,theme,portrait_dir,price,obtain_type,is_limited,limited_type,bonus_cultivation,bonus_lingshi,bonus_all_attr,title,effects,desc
skin_ice_phoenix,冰凰涅槃,灵品,冰雪,ice_phoenix,888,direct,false,,0.5,0.3,0,冰凰使者,冰凤凰神兽虚影+漫天冰雪冰晶特效+动态冰雪云雾背景+冰法阵背景,冰雪主题皮肤。冰蓝色银边长袍，冰晶帝冠，银白色长发飞扬。漫天冰雪和冰晶特效，背后巨大冰凤凰神兽虚影展翅，多件冰晶法宝发光悬浮，动态冰雪云雾和冰法阵背景。冷峻霸气，如冰雪之神降世。
skin_dark_dragon,暗夜魔龙,宝品,暗夜,dark_dragon,1688,direct,true,festival,1,0.5,0,暗夜魔龙,暗夜魔龙神兽虚影+暗影紫火特效+多件暗影法宝发光悬浮+动态暗影云雾背景+暗法阵背景,暗夜主题限定皮肤。深紫色金边暗夜长袍，暗夜帝冠，深紫色长发飞扬。暗影和紫火特效，背后巨大暗夜魔龙神兽虚影展翅，多件暗影法宝发光悬浮，动态暗影云雾和暗法阵背景。邪魅霸气，如暗夜之主降临。节日限定，错过不再。
skin_gold_dragon,五爪金龙,仙品,黄金,gold_dragon,3288,direct,true,season,2,1,0,五爪金龙,五爪金龙神兽虚影+金色龙气特效+多件黄金法宝发光悬浮+金龙法阵背景+双形态切换+专属BGM+全屏出场动画,黄金主题赛季限定皮肤。黄金色龙纹帝袍，黄金帝冠，金色长发飞扬。金色龙气和金光特效，背后巨大五爪金龙神兽虚影盘旋，多件黄金法宝发光悬浮，动态金色云雾和金龙法阵背景。双形态切换（常态/战斗态），专属BGM，全屏出场动画。睥睨天下，如真龙天子降世。赛季限定，绝版收藏。
skin_xianxia_crane,青莲剑仙,宝品,仙侠,xianxia_crane,1688,direct,false,,1,0.5,0,青莲剑仙,仙鹤神兽虚影+仙气莲花特效+多件玉质法宝发光悬浮+动态仙云云雾背景+莲花法阵背景,仙侠主题皮肤。青绿色飘逸仙侠长袍，莲花道冠，青绿色长发飞扬。仙气和莲花特效，背后巨大仙鹤神兽虚影展翅，多件玉质法宝发光悬浮，动态仙云云雾和莲花法阵背景。飘逸出尘，如剑仙下凡。
skin_warrior_god,战神降世,神品,战神,warrior_god,0,lottery,true,collection,3,1.5,0.3,战神降世,战神虚影+战火血气特效+多件神兵发光悬浮+战神法阵背景+动态立绘（呼吸/眨眼/发丝飘动）+点击触发专属互动特效+境界突破时全屏特效+获得时全服公告,战神主题典藏皮肤。赤红色黑金战甲，战神头盔，赤红色长发飞扬。战火和血气特效，背后巨大战神虚影，多件神兵发光悬浮，动态战云云雾和战神法阵背景。动态立绘（呼吸/眨眼/发丝飘动），点击触发专属互动特效，境界突破时全屏特效，获得时全服公告。狂放霸气，如战神降世。仙缘夺宝典藏，可遇不可求。
skin_mecha_phoenix,机甲凤皇,宝品,机甲,mecha_phoenix,1688,direct,true,festival,1,0.5,0,机甲凤皇,机械凤凰神兽虚影+科技能量特效+多件高科技法宝发光悬浮+动态能量云雾背景+科技法阵背景,机甲科幻主题限定皮肤。银蓝色科技感机甲长袍，高科技机甲头盔，银蓝色短发。机甲关节发光，背后巨大机械凤凰神兽虚影展翅，多件高科技法宝发光悬浮，动态能量云雾和科技法阵背景。未来科技感，如机甲战神降世。节日限定，错过不再。
skin_azure_dragon,青龙神君,仙品,神兽,azure_dragon,3288,direct,true,season,2,1,0,青龙神君,青龙神兽虚影+青龙吐息特效+多件玉质法宝发光悬浮+动态青云云雾背景+青龙法阵背景,青龙神兽主题赛季限定皮肤。青绿色龙纹长袍，青龙角冠，青绿色长发。龙鳞纹理，背后巨大青龙神兽虚影盘旋，青龙吐息，多件玉质法宝发光悬浮，动态青云云雾和青龙法阵背景。东方神兽之威，如青龙神君降世。赛季限定，绝版收藏。
skin_white_tiger,白虎战神,宝品,神兽,white_tiger,1688,direct,false,,1,0.5,0,白虎战神,白虎神兽虚影+白虎雷光特效+多件银质法宝发光悬浮+动态风云云雾背景+白虎法阵背景,白虎神兽主题皮肤。银白色虎纹战袍，白虎耳冠，银白色短发。虎爪装饰，背后巨大白虎神兽虚影咆哮，白虎雷光，多件银质法宝发光悬浮，动态风云云雾和白虎法阵背景。威猛霸气，如白虎战神降世。
skin_vermilion_bird,朱雀天女,灵品,神兽,vermilion_bird,888,direct,false,,0.5,0.3,0,朱雀天女,朱雀神兽虚影+朱雀烈焰特效+多件火属性法宝发光悬浮+动态烈焰云雾背景+朱雀法阵背景,朱雀神兽主题皮肤。火红色凤羽长袍，朱雀羽冠，火红色长发。羽毛纹理，背后巨大朱雀神兽虚影展翅，朱雀烈焰，多件火属性法宝发光悬浮，动态烈焰云雾和朱雀法阵背景。热情似火，如朱雀天女降世。
skin_black_tortoise,玄武真君,仙品,神兽,black_tortoise,3288,direct,true,season,2,1,0,玄武真君,玄武神兽虚影（龟蛇合体）+玄冰水雾特效+多件水属性法宝发光悬浮+动态深海云雾背景+玄武法阵背景,玄武神兽主题赛季限定皮肤。深蓝色龟甲纹长袍，玄武龟甲冠，深蓝色长发。蛇纹装饰，背后巨大玄武神兽虚影（龟蛇合体），玄冰水雾，多件水属性法宝发光悬浮，动态深海云雾和玄武法阵背景。沉稳厚重，如玄武真君降世。赛季限定，绝版收藏。
