event_id,event_name,event_type,rarity,trigger_scene,unlock_sect_level,unlock_realm,event_content,opt1_desc,opt1_reward,opt1_punish,opt2_desc,opt2_reward,opt2_punish,opt3_desc,opt3_reward,opt3_punish,trigger_weight,cooldown_hour,is_counted_in_balance,base_value,level_factor,min_value,max_value,display_level,weight_decay,trigger_type,触发周期
R001,灵田鼠患,宗门常驻,普通,宗门内,1,练气,一群灵鼠偷啃灵田边缘的草药，已损失少量药草,驱散灵鼠止损,lingcao:25,无,设置驱鼠阵,草药产出+3%永久,无,,,,10,2160,true,,,,,,,monthly,
R002,浅脉灵泉,宗门常驻,优秀,宗门内,1,练气,灵田角落涌出一股细灵泉，能小幅滋养药草,听泉声入定，心境澄明,无变化,无,维持现状,无变化,无,,,,6,2160,true,,,,,,,monthly,
R003,矿洞塌方,宗门常驻,优秀,宗门内,1,练气,外围矿道发生小型塌方，堵了部分矿路,清理塌方碎石,kuangshi:8,无,加固矿道结构,矿石产出+2%持续1个月,无,,,,6,2160,true,,,,,,,monthly,
R004,灵气潮汐,宗门常驻,普通,宗门内,1,练气,天地灵气小幅上涨，聚灵阵效率临时提升,全力吸纳灵气,lingqi:50,无,改造聚灵阵基础,灵脉效率永久+2%,无,,,,10,2160,true,,,,,,,monthly,
R005,库房漏雨,宗门常驻,普通,宗门内,1,练气,连日小雨打湿库房一角，部分药材受潮,翻晒受潮药材,草药-3（止损）,无,翻修库房顶棚,后续损耗率永久-5%,无,,,,10,2160,true,,,,,,,monthly,
R006,灵虫噬药,宗门常驻,优秀,宗门内,1,练气,发现低阶灵虫啃食药草，虫壳可入药,喷洒驱虫药,lingcao:4,无,培育虫壳入药方,丹房知识永久+1,无,,,,6,2160,true,,,,,,,monthly,
R007,废弃矿道,宗门常驻,优秀,宗门内,1,练气,矿洞深处有一段前人废弃的矿道,驻足沉思，感悟矿道岁月,无变化,无,标记废弃矿道,后续勘探效率提升,无,,,,6,2160,true,,,,,,,monthly,
R008,灵石碎矿,宗门常驻,普通,宗门内,1,练气,挖矿时挖出零星灵石碎矿,收集碎矿,lingshi:25,无,研究碎矿成因,矿道勘探效率永久提升,无,,,,10,2160,true,,,,,,,monthly,
R009,药田杂交,宗门常驻,优秀,宗门内,1,练气,两株不同草药自然杂交，结出奇异种子,采摘杂交种子,获得稀有药种×1（立即）,无,记录杂交方法,草药杂交成功率永久+2%,无,,,,6,2160,true,,,,,,,monthly,
R010,聚灵阵偏移,宗门常驻,普通,宗门内,1,练气,聚灵阵阵基略有偏移，灵气流失变多,校准阵基,lingqi:20,无,增加缓冲阵纹,阵基故障率永久减半,无,,,,10,2160,true,,,,,,,monthly,
