里程碑ID,名称,触发类型,触发事件,触发阈值,史册文案
LC001,开宗立派,事件,开宗立派,,【里程碑】太玄宗开宗立派，道统始于此，香火绵延。
LC002,首位筑基弟子,状态,筑基,,【里程碑】宗门首位弟子筑基成功，道基初立，修行之路自此开阔。
LC003,首次攻破秘境,事件,首次攻破秘境,,【里程碑】宗门首次攻破秘境，弟子历练有成，声名初显。
LC004,首位长老飞升,事件,首位长老飞升,,【里程碑】首位长老功成飞升，留仙名于山门，后学仰止。
LC005,宗门晋升八品,阈值,门派等级,3,【里程碑】太玄宗晋入八品，基业初立，丹殿器殿并兴。
LC006,宗门晋升三品,阈值,门派等级,7,【里程碑】太玄宗晋入三品，道统宏开，四海来投。
LC007,解锁基础阵法,阈值,阵法,5,【里程碑】宗门阵道初成，弟子皆可习阵御敌。
LC008,声望初显,阈值,声望,500,【里程碑】宗门声望渐起，四方修士闻风来投。
LC009,声望远播,阈值,声望,2000,【里程碑】宗门声望远播，已成一方道统。
LC010,首位长老就任,状态,长老,,【里程碑】宗门首位长老就任，纲纪初定。
LC011,御兽有成,阈值,灵兽,5,【里程碑】御兽有成，灵兽相助，山门愈盛。
LC012,广纳弟子,阈值,弟子,30,【里程碑】宗门弟子渐众，香火绵延不绝。
LC013,秘境大成,阈值,秘境,10,【里程碑】宗门秘境探索大成，弟子历炼通玄。
LC014,繁荣鼎盛,阈值,繁荣,80,【里程碑】宗门繁荣鼎盛，上下欢欣。
LC015,香火鼎盛,阈值,香火,100,【里程碑】香火鼎盛，凡人城镇归心。
LC016,丹道初成,阈值,累计丹药,10,【里程碑】宗门丹道初成，弟子皆可炼丹济世，香火愈盛。
LC017,器道初成,阈值,累计装备,10,【里程碑】宗门器道初成，弟子皆可炼器御敌，山门愈固。
LC018,万法初通,阈值,功法数量,10,【里程碑】宗门万法初通，弟子皆有功法可习，道统渐宽。
LC019,成就斐然,阈值,成就数量,20,【里程碑】宗门成就斐然，四方修士闻风来投，声名远播。
LC020,体修有成,阈值,体修弟子,3,【里程碑】宗门体修有成，弟子体魄强健，战力倍增。
LC021,法修有成,阈值,法修弟子,3,【里程碑】宗门法修有成，弟子法术通玄，威力无穷。
LC022,道修有成,阈值,道修弟子,3,【里程碑】宗门道修有成，弟子剑道初成，锋芒毕露。
LC023,财力雄厚,阈值,累计灵石,100000,【里程碑】宗门财力雄厚，库藏充盈，百业兴旺。
LC024,首位金丹弟子,状态,金丹,,【里程碑】宗门首位弟子金丹大成，丹火淬体，道基稳固。
LC025,首位元婴弟子,状态,元婴,,【里程碑】宗门首位弟子元婴化神，元婴出窍，道途大成。
LC026,三修并进,状态,三修并进,,【里程碑】宗门三修并进，体法道三道同兴，全面发展。
LC027,首次炼制丹药,事件,首次炼制丹药,,【里程碑】宗门首次炼制丹药成功，丹道自此而始。
LC028,首次锻造装备,事件,首次锻造装备,,【里程碑】宗门首次锻造装备成功，器道自此而始。
LC029,首次学习功法,事件,首次学习功法,,【里程碑】宗门弟子首次学习功法，万法之路自此而始。
LC030,宗门晋升五品,阈值,门派等级,5,【里程碑】太玄宗晋入五品，道统宏开，四海来投。
