destiny_id,名称,品级,类型,效果参数,描述
D_ZHANWANG,战狂,上品,战斗,攻:9,"好勇斗狠，战意炽烈，临敌战力略增，然易结仇树敌。"
D_JIANCHI,剑痴,极品,战斗,攻:10,"痴迷剑道，剑意通明，破法穿透出众，然不擅他法。"
D_ZHANTI,战体,上品,战斗,血:9,"天生战体，肉身强悍，承伤与近战碾压占优。"
D_XUEGUANG,血光,上品,战斗,攻:8,"血光之灾，战斗凶险但杀伐果决，越战越强。"
D_WUQU,武曲,良品,战斗,速:7,"将星之姿，统军布阵无双，斗法集火权重高。"
D_JIANGXING,将星,良品,战斗,攻:6,"领兵天赋，麾下协同增益，宗门大比更易出彩。"
D_GUSHA,孤煞,良品,战斗,速:6,"孤煞之命，独修无牵无挂，免疫队友负面但少助。"
D_JULING,聚灵,上品,修行,修炼:9,"聚灵之体，修炼速度略快，灵气亲和。"
D_CHANGSHENG,长生,良品,修行,修炼:7,"寿元绵长，突破折损更低，宜做长期投资。"
D_SHUXIANG,书香,良品,修行,修炼:6,"饱读诗书，悟道与功法推演更快。"
D_SHUAIXING,衰星,良品,修行,修炼:-5,"时运不济，奇遇骤减，行事多舛，需多打磨。"
D_SHANGDAO,商道,良品,经营,产出:8,"经商奇才，宗门贸易与坊市收益提升。"
D_DANXIN,丹心,上品,经营,产出:9,"丹道天赋，炼丹成丹率与品质提升。"
D_JIANGXIN,匠心,上品,经营,产出:9,"器道天赋，炼器与打造更易出极品。"
D_ZHENDAO,阵道,良品,经营,产出:7,"阵法天赋，护山大阵与阵纹造诣高。"
D_FUDAO,符道,良品,经营,产出:7,"符箓天赋，符箓威力与范围增益。"
D_YUSHOU,御兽,良品,经营,产出:7,"御兽天赋，灵兽协同与兽魂增益显著。"
D_TAOHUA,桃花,良品,经营,产出:6,"桃花临身，易结善缘，经营顺遂，亦惹情劫。"
D_FUXING,福星,上品,奇遇,奇遇:8,"福泽深厚，奇遇概率大幅增加，遇难常逢凶化吉。（首发不生效）"
D_XUNBAO,寻宝,良品,奇遇,奇遇:5,"天生寻宝鼠，探秘境、觅遗泽概率大增。（首发不生效）"
D_FANPU,凡璞,凡品,修行,修炼:3,"根基平庸但踏实，修炼略缓。"
D_FANMIN,凡民,凡品,经营,产出:3,"寻常百姓，经营平平。"
D_FANLU,凡碌,凡品,战斗,攻:3,"资质平平的斗者，攻伐寻常。"
D_CAIFU,财福,良品,经营,产出:8,"财运亨通，宗门贸易收益提升。"
D_LIYI,利市,良品,经营,产出:7,"市井历练，营商顺遂。"
D_SHANGFENG,商风,良品,经营,产出:8,"商道老练，坊市经营增益。"
D_JINGONG,劲攻,良品,战斗,攻:7,"勇猛精进，攻伐凌厉。"
D_TIEBI,铁壁,良品,战斗,防:7,"守御坚韧，护身有道。"
D_QINGYING,轻影,良品,战斗,速:7,"身法轻灵，先发制人。"
D_XUEREN,血韧,良品,战斗,血:8,"气血旺盛，临战持久。"
D_KUAIJING,苦行,良品,修行,修炼:7,"苦修不辍，修炼坚韧。"
D_JUGU,巨贾,上品,经营,产出:10,"营商奇才，宗门财源广进。"
D_DAOFU,道斧,上品,战斗,攻:10,"斧劈山河，攻伐无双。"
D_JINGU,金钟,上品,战斗,防:10,"金钟罩体，守御如山。"
D_XUEHAI,血海,上品,战斗,血:10,"血海滔滔，肉身强悍。"
D_LIUYING,流影,上品,战斗,速:9,"流光遁影，迅捷无伦。"
D_WUXING,悟性,上品,修行,修炼:10,"悟性超卓，修行一日千里。"
D_DAOXIN,道心,上品,修行,修炼:10,"道心坚定，修行无碍。"
D_LINGHAI,灵海,上品,修行,修炼:9,"灵海浩瀚，修炼顺遂。"
D_POFANG,破法,极品,战斗,攻:11,"破法诛邪，攻伐通神。"
D_TIANGU,天骨,极品,战斗,血:11,"天骨灵躯，肉身不朽。"
D_SHENSU,神速,极品,战斗,速:10,"神行无影，夺天地之先。"
D_WUSHUANG,无双,极品,战斗,攻:10,"斗战无双，越战越强。"
D_DACHENG,大成,极品,经营,产出:11,"经营大成，富甲一方。"
D_TONGXUAN,通玄,极品,修行,修炼:11,"通玄悟道，修行通神。"
