pill_id,pill_name,grade,sub_grade,pill_type,use_effect,effect_value,use_level,craft_material,craft_time,base_success_rate,sell_price
pill_001,聚气丹,凡品,下品,培元类,修炼速度提升,2%,练气初期,灵草×2,300,85%,5
pill_002,凡品中品养元丹,凡品,中品,培元类,修炼速度提升,2.6%,练气初期,灵草×2,360,82%,8
pill_003,凡品上品凝气丹,凡品,上品,培元类,修炼速度提升,3.4%,练气初期,灵草×2,430,78%,12
pill_004,凡品极品培元丹,凡品,极品,培元类,修炼速度提升,4.2%,练气初期,灵草×2,520,74%,18
pill_005,筑基丹,灵品,中品,突破类,突破成功率提升,8%,筑基中期,灵草×5+灵晶×1,1200,70%,60
pill_006,凡品中品清毒丹,凡品,中品,恢复类,气血恢复,2.6%,练气初期,灵草×2,360,82%,8
pill_007,凡品上品神识丹,凡品,上品,属性类,基础属性提升,3.4%,练气初期,灵草×2,430,78%,12
pill_008,灵品下品养元丹,灵品,下品,培元类,修炼速度提升,5%,筑基初期,灵草×4,600,72%,40
pill_009,灵品中品婴变丹,灵品,中品,突破类,突破成功率提升,6.5%,筑基初期,灵草×4,720,68%,60
pill_010,灵品上品冲窍丹,灵品,上品,突破类,突破成功率提升,8%,筑基初期,灵草×4,860,64%,90
pill_011,灵品极品聚气丹,灵品,极品,培元类,修炼速度提升,9.5%,筑基初期,灵草×4,1030,60%,130
pill_012,灵品下品清毒丹,灵品,下品,恢复类,气血恢复,5%,筑基初期,灵草×4,600,72%,40
pill_013,灵品中品神识丹,灵品,中品,属性类,基础属性提升,6.5%,筑基初期,灵草×4,720,68%,60
pill_014,灵品上品续命丹,灵品,上品,恢复类,气血恢复,8%,筑基初期,灵草×4,860,64%,90
pill_015,宝品下品婴变丹,宝品,下品,突破类,突破成功率提升,10%,金丹初期,灵晶×6,1200,57%,150
pill_016,宝品中品冲窍丹,宝品,中品,突破类,突破成功率提升,12.5%,金丹初期,灵晶×6,1440,53%,220
pill_017,宝品上品破障丹,宝品,上品,突破类,突破成功率提升,15.5%,金丹初期,灵晶×6,1730,49%,320
pill_018,宝品极品体丹,宝品,极品,属性类,基础属性提升,19%,金丹初期,灵晶×6,2070,45%,450
pill_019,宝品下品凝气丹,宝品,下品,培元类,修炼速度提升,10%,金丹初期,灵晶×6,1200,57%,150
pill_020,宝品中品续命丹,宝品,中品,恢复类,气血恢复,12.5%,金丹初期,灵晶×6,1440,53%,220
pill_021,宝品上品延寿丹,宝品,上品,特殊类,特殊效果,15.5%,金丹初期,灵晶×6,1730,49%,320
pill_022,王品下品冲窍丹,王品,下品,突破类,突破成功率提升,22%,元婴初期,灵晶×8,2400,42%,700
pill_023,王品中品力丹,王品,中品,属性类,基础属性提升,26%,元婴初期,灵晶×8,2880,39%,1000
pill_024,王品上品洗髓丹,王品,上品,特殊类,特殊效果,30%,元婴初期,灵晶×8,3460,35%,1500
pill_025,王品极品凝气丹,王品,极品,培元类,修炼速度提升,35%,元婴初期,灵晶×8,4150,32%,2200
pill_026,王品下品续命丹,王品,下品,恢复类,气血恢复,22%,元婴初期,灵晶×8,2400,42%,700
pill_027,王品中品破障丹,王品,中品,突破类,突破成功率提升,26%,元婴初期,灵晶×8,2880,39%,1000
pill_028,圣品下品延寿丹,圣品,下品,特殊类,特殊效果,38%,化神初期,妖兽精血×7+灵髓×1,4800,30%,3500
pill_029,圣品中品固金丹,圣品,中品,突破类,突破成功率提升,44%,化神初期,妖兽精血×7+灵髓×1,5760,27%,5000
pill_030,圣品上品神识丹,圣品,上品,属性类,基础属性提升,50%,化神初期,妖兽精血×7+灵髓×1,6910,24%,7000
pill_031,圣品极品续命丹,圣品,极品,恢复类,气血恢复,58%,化神初期,妖兽精血×7+灵髓×1,8290,21%,10000
pill_032,圣品下品破障丹,圣品,下品,突破类,突破成功率提升,38%,化神初期,妖兽精血×7+灵髓×1,4800,30%,3500
pill_033,圣品中品洗髓丹,圣品,中品,特殊类,特殊效果,44%,化神初期,妖兽精血×7+灵髓×1,5760,27%,5000
pill_034,真品下品固金丹,真品,下品,突破类,突破成功率提升,62%,炼虚初期,天材地宝×8+灵髓×1,9600,19%,15000
pill_035,真品中品神识丹,真品,中品,属性类,基础属性提升,70%,炼虚初期,天材地宝×8+灵髓×1,11520,17%,22000
pill_036,真品上品化劫丹,真品,上品,特殊类,特殊效果,80%,炼虚初期,天材地宝×8+灵髓×1,13820,15%,32000
pill_037,真品极品回血丹,真品,极品,恢复类,气血恢复,90%,炼虚初期,天材地宝×8+灵髓×1,16580,13%,46000
pill_038,道品极品洗髓丹,道品,极品,特殊类,特殊效果,150%,合体初期,大道本源×9+灵髓×1,33160,8%,220000
pill_039,道品上品破障丹,道品,上品,突破类,突破成功率提升,130%,合体初期,大道本源×9+灵髓×1,27640,9%,150000
