recipe_id,名称,品阶,需求境界,需求境界序,材料描述,cost_herb,cost_ore,cost_jing,cost_stone,cost_qi,基础成功率,产出丹名,描述,来源
juqi,聚气丹方,凡品,练气,0,一阶灵草×2,2,0,0,0,0,70,聚气丹,入门丹方，稳固练气修为。,alchemy
guyuan,固元丹方,灵品,筑基,1,百年灵草,1,0,0,0,0,60,固元丹,筑基突破辅助，降低失败掉级概率。,alchemy
ningjin,凝金丹方,宝品,金丹,2,三阶灵草×5,5,0,0,0,0,50,凝金丹,大幅提升金丹突破成功率。,alchemy
poying,破婴丹方,王品,元婴,3,千年灵草+中品灵脉原石,2,0,0,0,0,40,破婴丹,元婴专属突破丹药，降低心魔触发概率。,alchemy
huashen,化神蕴神丹方,圣品,化神,4,千年灵草×5+灵晶×2,5,0,2,0,0,30,化神蕴神丹,稳固化神道基，永久小幅提升道心纯度。,alchemy
zhuyan,驻颜丹方,宝品,金丹,2,百年灵草,1,0,0,0,0,45,驻颜丹,服用后锁定当前外观年龄段，永不衰老。,alchemy
wudao,旷世悟道丹方,仙品,炼虚,5,万年灵草×3+道韵灵根×1,3,0,0,0,0,20,旷世悟道丹,旷世弟子专属，大幅提升功法圆满速度。,alchemy
daoguo,万载道果丹方,道品,合体,6,万年灵草×5+道韵灵根×2,5,0,0,0,0,10,万载道果丹,道阶弟子专属，唯一可小幅修复道阶突破折损寿元。,alchemy
ip_002,养元丹（凡品）,凡品,练气,0,灵草×2,2,0,0,0,0,82,养元丹,凡品·中品：修炼速度提升 2.6%,item_pill
ip_003,凝气丹（凡品）,凡品,练气,0,灵草×2,2,0,0,0,0,78,凝气丹,凡品·上品：修炼速度提升 3.4%,item_pill
ip_004,培元丹（凡品）,凡品,练气,0,灵草×2,2,0,0,0,0,74,培元丹,凡品·极品：修炼速度提升 4.2%,item_pill
ip_005,筑基丹（灵品）,灵品,筑基,1,灵草×5+灵晶×1,5,0,1,0,0,70,筑基丹,灵品·中品：突破成功率提升 8%,item_pill
ip_006,清毒丹（凡品）,凡品,练气,0,灵草×2,2,0,0,0,0,82,清毒丹,凡品·中品：气血恢复 2.6%,item_pill
ip_007,神识丹（凡品）,凡品,练气,0,灵草×2,2,0,0,0,0,78,神识丹,凡品·上品：基础属性提升 3.4%,item_pill
ip_008,养元丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,72,养元丹,灵品·下品：修炼速度提升 5%,item_pill
ip_009,婴变丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,68,婴变丹,灵品·中品：突破成功率提升 6.5%,item_pill
ip_010,冲窍丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,64,冲窍丹,灵品·上品：突破成功率提升 8%,item_pill
ip_011,聚气丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,60,聚气丹,灵品·极品：修炼速度提升 9.5%,item_pill
ip_012,清毒丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,72,清毒丹,灵品·下品：气血恢复 5%,item_pill
ip_013,神识丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,68,神识丹,灵品·中品：基础属性提升 6.5%,item_pill
ip_014,续命丹（灵品）,灵品,筑基,1,灵草×4,4,0,0,0,0,64,续命丹,灵品·上品：气血恢复 8%,item_pill
ip_015,婴变丹（宝品）,宝品,金丹,2,灵晶×6,0,0,6,0,0,57,婴变丹,宝品·下品：突破成功率提升 10%,item_pill
