item_id,faction,faction_id,item_name,item_type,unlock_reputation,price,description
shop_zhengdao_001,正道宗门,fz_zhengdao,正道心法残篇,功法,中立,500,正道宗门基础心法残篇，可用于学习正道功法。
shop_zhengdao_002,正道宗门,fz_zhengdao,清心丹,丹药,友善,300,正道宗门秘制丹药，可清除心魔，提升道心。
shop_zhengdao_003,正道宗门,fz_zhengdao,正阳剑,装备,尊敬,2000,正道宗门高阶法器，蕴含正阳之气，克制邪祟。
shop_zhengdao_004,正道宗门,fz_zhengdao,正道传承玉简,特殊,崇敬,5000,正道宗门至高传承，蕴含正道宗师毕生修为。
shop_modao_001,魔道邪宗,fz_mo,魔功残篇,功法,中立,500,魔道邪宗基础魔功残篇，可用于学习魔道功法。
shop_modao_002,魔道邪宗,fz_mo,嗜血丹,丹药,友善,350,魔道邪宗秘制丹药，以精血炼制，短期大幅提升攻击力。
shop_modao_003,魔道邪宗,fz_mo,噬魂幡,装备,尊敬,2200,魔道邪宗高阶法器，可吞噬敌人魂魄，增强自身。
shop_modao_004,魔道邪宗,fz_mo,魔道传承玉简,特殊,崇敬,5500,魔道邪宗至高传承，蕴含魔道宗师毕生修为。
shop_sanxiu_001,中立散修,fz_zhongli,散修心得,功法,中立,400,散修游历天下的心得笔记，包含各种实用技巧。
shop_sanxiu_002,中立散修,fz_zhongli,辟谷丹,丹药,友善,200,散修常用丹药，服用后可数日不饥，适合长期游历。
shop_sanxiu_003,中立散修,fz_zhongli,百宝囊,装备,尊敬,1500,散修常用储物法器，空间巨大，可收纳各种物品。
shop_sanxiu_004,中立散修,fz_zhongli,散修传承玉简,特殊,崇敬,4000,历代散修高手的传承合集，蕴含自由修行的真谛。
shop_yaoshou_001,上古妖兽,fz_yaozu,灵兽契约书,特殊,中立,600,上古妖兽一族的契约书，可与灵兽建立契约。
shop_yaoshou_002,上古妖兽,fz_yaozu,灵兽食粮,材料,友善,150,上古妖兽一族特制的灵兽食粮，可提升灵兽亲密度。
shop_yaoshou_003,上古妖兽,fz_yaozu,兽魂玉,装备,尊敬,1800,蕴含妖兽魂魄的玉石，可增强灵兽战斗力。
shop_yaoshou_004,上古妖兽,fz_yaozu,上古灵兽蛋,特殊,崇敬,6000,上古妖兽一族的至宝，可孵化出稀有上古灵兽。
shop_yize_001,远古遗泽,fz_yuan,远古符文,材料,中立,800,远古遗迹中发现的神秘符文，蕴含远古力量。
shop_yize_002,远古遗泽,fz_yuan,时光丹,丹药,友善,500,远古遗泽秘制丹药，可短暂回溯时间，修复损伤。
shop_yize_003,远古遗泽,fz_yuan,远古神器碎片,材料,尊敬,3000,远古神器的碎片，收集足够数量可重铸远古神器。
shop_yize_004,远古遗泽,fz_yuan,远古传承玉简,特殊,崇敬,8000,远古文明的至高传承，蕴含失落的远古知识和力量。
