npc_id,npc_name,faction_id,identity,core_function,rep_unlock_note
npc_zq001,玄清真人,fz_zhengdao,正道盟盟主,阵营主线·高阶阵法兑换,崇拜:专属防御阵法+长老弟子招募
npc_zq002,凌岳长老,fz_zhengdao,执法堂堂主,日常除魔·声望兑换,尊敬:精英除魔任务+稀有防御道具
npc_zq003,苏晚,fz_zhengdao,传令使,日常任务·基础商店,友善:正道商店基础栏
npc_zl001,酒剑仙,fz_zhongli,同盟会盟主,阵营主线·专属历练地图,崇拜:神秘商人+顶级散修招募
npc_zl002,胡不归,fz_zhongli,百宝商人,散修商店·稀有道具交易,尊敬:黑市折扣+专属材料兑换
npc_zl003,陆小七,fz_zhongli,接引弟子,日常任务·基础兑换,友善:基础历练加成
npc_dq001,墨玄丹尊,fz_danqi,总会长,高阶丹方兑换·丹道考核,崇拜:王品丹方+专属称号
npc_dq002,欧冶石,fz_danqi,器堂堂主,器道图纸·傀儡配方,尊敬:宝品傀儡图纸
npc_dq003,青禾,fz_danqi,公会执事,材料上交·日常任务,友善:基础制作加成
npc_mo001,血影魔尊,fz_mo,魔宗宗主,阵营主线·魔道功法,崇拜:顶级邪修功法+暗市权限
npc_mo002,幽姬,fz_mo,暗市使者,暗市商店·稀有道具,尊敬:高阶暗市商品
npc_mo003,厉锋,fz_mo,外务执事,日常任务·基础兑换,友善:邪修基础功法
npc_yz001,青鸾圣姑,fz_yaozu,古族族长,阵营主线·上古灵兽,崇拜:神兽血脉+顶级灵兽蛋
npc_yz002,鹿童长老,fz_yaozu,灵兽堂主,灵兽培育·技能学习,尊敬:高阶灵兽技能书
npc_yz003,阿灵,fz_yaozu,外使少女,日常任务·基础灵兽,友善:基础灵兽饲料折扣
npc_neu001,王掌柜,neutral,坊市掌柜,通用商店·物资收购,常驻无门槛
npc_neu002,云游老道,neutral,神秘散修,随机稀有道具·奇遇触发,宗门随机出现
npc_neu003,宗门大执事,neutral,内务总管,人事·俸禄发放,宗门大殿常驻
npc_neu004,说书先生,neutral,市井艺人,世界观剧情·传闻信息,宗门广场随机
npc_neu005,疗伤药师,neutral,药堂医师,弟子疗伤·丹药售卖,丹房常驻
npc_neu006,铁匠老张,neutral,器堂师傅,装备维修·锻造咨询,器堂常驻
