quest_id,faction,faction_id,quest_name,quest_type,unlock_reputation,target_desc,target_num,reward_lingjing,reward_lingqi,reward_reputation,description
fz_zhengdao_001,正道宗门,fz_zhengdao,正道巡山,daily,中立,完成3次山门巡逻,3,100,50,20,正道宗门日常任务，维护山门安宁。
fz_zhengdao_002,正道宗门,fz_zhengdao,除魔卫道,daily,友善,清剿2处妖兽巢穴,2,200,100,30,正道宗门日常任务，清剿妖兽保护百姓。
fz_zhengdao_003,正道宗门,fz_zhengdao,讲经论道,weekly,尊敬,举办1次讲经法会,1,800,400,50,正道宗周山常任务，弘扬正道心法。
fz_zhengdao_004,正道宗门,fz_zhengdao,正道试炼,weekly,崇敬,通过正道高阶试炼,1,1500,800,100,正道宗门专属任务，证明对正道的忠诚。
fz_modao_001,魔道邪宗,fz_mo,血祭修炼,daily,中立,完成3次血祭修炼,3,120,60,20,魔道邪宗日常任务，以血祭提升修为。
fz_modao_002,魔道邪宗,fz_mo,掠夺资源,daily,友善,掠夺2处商队,2,250,120,30,魔道邪宗日常任务，掠夺资源壮大魔道。
fz_modao_003,魔道邪宗,fz_mo,魔道大典,weekly,尊敬,举办1次魔道大典,1,900,450,50,魔道邪宗周常任务，汇聚魔道力量。
fz_modao_004,魔道邪宗,fz_mo,魔道试炼,weekly,崇敬,通过魔道高阶试炼,1,1800,900,100,魔道邪宗专属任务，证明对魔道的忠诚。
fz_sanxiu_001,中立散修,fz_zhongli,坊市跑腿,daily,中立,完成3次坊市交易,3,80,40,15,中立散修日常任务，在坊市间奔波。
fz_sanxiu_002,中立散修,fz_zhongli,游历天下,daily,友善,完成2次游历,2,150,80,25,中立散修日常任务，游历四方增长见识。
fz_sanxiu_003,中立散修,fz_zhongli,散修聚会,weekly,尊敬,举办1次散修聚会,1,700,350,40,中立散修周常任务，联络散修情谊。
fz_sanxiu_004,中立散修,fz_zhongli,散修试炼,weekly,崇敬,通过散修高阶试炼,1,1200,600,80,中立散修专属任务，证明散修的自由精神。
fz_yaoshou_001,上古妖兽,fz_yaozu,灵兽喂养,daily,中立,喂养3次灵兽,3,90,45,15,上古妖兽日常任务，照料灵兽。
fz_yaoshou_002,上古妖兽,fz_yaozu,妖兽契约,daily,友善,完成2次妖兽契约,2,180,90,25,上古妖兽日常任务，与妖兽建立契约。
fz_yaoshou_003,上古妖兽,fz_yaozu,万兽朝宗,weekly,尊敬,举办1次万兽大会,1,750,380,45,上古妖兽周常任务，召唤万兽朝拜。
fz_yaoshou_004,上古妖兽,fz_yaozu,妖兽试炼,weekly,崇敬,通过妖兽高阶试炼,1,1300,650,90,上古妖兽专属任务，证明与妖兽的深厚羁绊。
fz_yize_001,远古遗泽,fz_yuan,遗迹探索,daily,中立,探索3处遗迹,3,150,75,25,远古遗泽日常任务，探索远古遗迹。
fz_yize_002,远古遗泽,fz_yuan,宝物鉴定,daily,友善,鉴定2件远古宝物,2,300,150,40,远古遗泽日常任务，鉴定远古宝物。
fz_yize_003,远古遗泽,fz_yuan,远古传承,weekly,尊敬,参悟1次远古传承,1,1200,600,60,远古遗泽周常任务，参悟远古传承。
fz_yize_004,远古遗泽,fz_yuan,遗泽试炼,weekly,崇敬,通过遗泽高阶试炼,1,2000,1000,120,远古遗泽专属任务，证明获得远古遗泽的认可。
