品阶,类型,category,文案
fan_jie,通用,宗门日常,御兽峰按月引育，于山野间收得凡阶兽卵一枚（{种类}），野性未褪，已入温养池。
fan_jie,attack,宗门日常,御兽峰巡山弟子于外围猎得凡阶攻伐兽卵一枚（{种类}），性烈好斗，宜作先锋苗子。
fan_jie,defense,宗门日常,御兽峰于浅山溪谷寻得凡阶守御兽卵一枚（{种类}），甲坚壳厚，可作戍卫之资。
fan_jie,support,宗门日常,御兽峰自后山灵田引来凡阶灵辅兽卵一枚（{种类}），通灵善哺，宜佐阵法灵脉。
ling_jie,通用,宗门日常,御兽峰布设引兽小阵，引得灵阶兽卵一枚（{种类}），灵气氤氲，已入灵地温养。
ling_jie,attack,宗门日常,御兽峰以诱兽香引得灵阶攻伐兽卵一枚（{种类}），爪牙含灵，战意初显。
ling_jie,defense,宗门日常,御兽峰于灵泉畔收得灵阶守御兽卵一枚（{种类}），灵甲自带护体微光。
ling_jie,support,宗门日常,御兽峰寻得灵阶灵辅兽卵一枚（{种类}），能引灵气、旺阵眼，众弟子称善。
bao_jie,通用,宗门日常,御兽峰定向引育告成，宝阶兽卵一枚（{种类}）驯化入账，可作宗门主力苗子。
bao_jie,attack,宗门日常,御兽峰定向引得宝阶攻伐兽卵一枚（{种类}），煞气内敛而锋芒暗藏，主战良材。
bao_jie,defense,宗门日常,御兽峰温养宝阶守御兽卵一枚（{种类}）功成，灵盾之姿已具雏形。
bao_jie,support,宗门日常,御兽峰得宝阶灵辅兽卵一枚（{种类}），通灵善谋，他日必为军师之选。
wang_jie,通用,宗门日常,御兽峰以中阶引兽阵召得王阶兽卵一枚（{种类}），长老瞩目，温养弥月方稳。
wang_jie,attack,宗门日常,御兽峰引得王阶攻伐兽卵一枚（{种类}），王威凛然，未孵已慑百兽。
wang_jie,defense,宗门日常,御兽峰收得王阶守御兽卵一枚（{种类}），鳞甲覆王纹，守御之资可托一方。
wang_jie,support,宗门日常,御兽峰得王阶灵辅兽卵一枚（{种类}），灵识通玄，温养期内已能微控灵脉。
sheng_jie,通用,异闻,异闻：御兽峰启洞天引兽大阵，竟召得圣阶兽卵一枚（{种类}），全宗震动，瑞光三日不散。
sheng_jie,attack,异闻,异闻：洞天大阵引得圣阶攻伐兽卵一枚（{种类}），煞瑞交织，掌教亲临观礼。
sheng_jie,defense,异闻,异闻：圣阶守御兽卵一枚（{种类}）自灵山结缘而来，护宗之气隐隐成形。
sheng_jie,support,异闻,异闻：圣阶灵辅兽卵一枚（{种类}）现世，通灵之姿近乎化形，宗门视为祥瑞。
xian_jie,通用,异闻,异闻：御兽峰洞天大阵显威，仙阶兽卵一枚（{种类}）自灵山结缘而来，瑞气盈峰。
xian_jie,attack,异闻,异闻：仙阶攻伐兽卵一枚（{种类}）破空而至，战意化霞，全宗弟子仰观。
xian_jie,defense,异闻,异闻：仙阶守御兽卵一枚（{种类}）降临，灵甲生云纹，宛若天成。
xian_jie,support,异闻,异闻：仙阶灵辅兽卵一枚（{种类}）显化，灵识通天，温养期已能共鸣宗门大阵。
dao_jie,通用,异闻,异闻：御兽峰跨界天引大阵贯通荒古遗地，道阶兽卵一枚（{种类}）现世，镇山之机已现。
dao_jie,attack,异闻,异闻：道阶攻伐兽卵一枚（{种类}）自分魂而来，煞道交融，掌教以秘法镇之。
dao_jie,defense,异闻,异闻：道阶守御兽卵一枚（{种类}）现世，道纹护体，可敌千军。
dao_jie,support,异闻,异闻：道阶灵辅兽卵一枚（{种类}）降临，灵枢自成，宗门气运为之凝实。
通用,通用,宗门日常,御兽峰按月引育，收得兽卵一枚（{种类}），已入温养池。
