id,kind,name,desc,need_grade,need_stone,need_incense,need_title,need_gratitude,p_tribute,p_talent,p_merit,p_morale,init_morale,init_longevity,init_loyalty,karma
fr_bingbian,route,兵变夺都,血洗宫阙，以力取之。得国不正：民心本低、郡县怀贰，却是最快的一条路。,8,60000,0,,0,1.0,1.0,1.15,0,35,55,25,25
fr_shanrang,route,受禅称帝,权臣受禅，名正言顺。需已位极人臣（监国），代价最小而地方归心。,9,20000,0,监国,0,1.0,1.0,1.0,0,70,85,60,5
fr_shouming,route,受命于天,天命所归，不血刃而得天下。需八郡感恩、香火鼎盛——这是长期经营德望的回报。,9,0,20000,,8,1.0,1.0,0.9,5,85,100,55,0
fs_keju,system,科举取士,开科取士，寒门有路。灵根苗子质量显著提升，民心微增。,0,0,0,,0,1.0,1.25,1.0,4,0,0,0,0
fs_shixi,system,世袭门阀,门阀把持朝纲，供奉丰厚而苗子庸碌，民心渐失。,0,0,0,,0,1.2,0.85,1.0,-8,0,0,0,0
fs_jungong,system,军功授爵,以军功定爵禄，兵锋强盛而供奉寡薄，然地方军功可换战功。,0,0,0,,0,0.9,1.0,1.3,0,0,0,0,0
fl_yanxing,law,严刑峻法,峻法绳下，府库所入丰厚，然民怨暗积。,0,0,0,,0,1.1,1.0,1.0,-10,0,0,0,0
fl_kuanren,law,宽仁治国,轻徭薄赋，民心归附，然府库所入平平。,0,0,0,,0,1.0,1.0,0.95,12,0,0,0,0
fl_wuwei,law,无为而治,与民休息，不兴大役，四平八稳而无所长。,0,0,0,,0,0.95,1.05,1.05,4,0,0,0,0
ff_zongmen,faith,太玄道统,以宗门道统为国教，举国供奉仙道——宗门香火日隆（S35-2 信仰网络起点）。,0,0,0,,0,1.15,1.05,1.0,3,0,0,0,0
ff_fo,faith,佛门,奉浮屠为国教，民心安靖而供奉稍薄。,0,0,0,,0,0.95,1.0,1.0,8,0,0,0,0
ff_mo,faith,魔门,奉魔道为国教，兵锋嗜杀、战功易得而业力缠身。,0,0,0,,0,1.0,1.0,1.25,-12,0,0,0,0
ff_yinsi,faith,淫祀,放任淫祀，供奉极厚而苗子驳杂、民心思乱。,0,0,0,,0,1.25,0.9,1.0,-4,0,0,0,0
