event_id,event_name,event_type,rarity,trigger_scene,unlock_sect_level,unlock_realm,event_content,opt1_desc,opt1_reward,opt1_punish,opt2_desc,opt2_reward,opt2_punish,opt3_desc,opt3_reward,opt3_punish,trigger_weight,cooldown_hour,is_counted_in_balance,base_value,level_factor,min_value,max_value,display_level,weight_decay,trigger_type,触发周期
RC001,晨钟问道,宗门氛围,普通,宗门内,1,练气,晨钟响彻山门，弟子云集听道。,率众听道,弟子好感+2,无,各自静修,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC002,灵田夜露,宗门氛围,普通,宗门内,1,练气,夜露凝于灵田，泛起微光，似有灵机。,收露研习,弟子好感+2,无,由它去,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC003,丹房异香,宗门氛围,普通,宗门内,1,练气,丹房飘出阵阵异香，引弟子驻足。,探看丹况,弟子好感+2,无,不打扰,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC004,演武论剑,宗门氛围,普通,宗门内,1,练气,弟子自发于演武场切磋剑艺。,观战指点,弟子好感+3,无,令其自练,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC005,山门访客,宗门氛围,普通,宗门内,1,练气,山下樵夫来山门歇脚避雨。,赐茶闲谈,宗门声望小幅+,无,婉言请离,无,无,,,,6,2160,false,,,,,,,monthly,日常
RC006,灵宠嬉闹,宗门氛围,普通,宗门内,1,练气,御兽峰灵宠在院中追逐嬉闹。,逗弄灵宠,弟子好感+2,无,各司其职,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC007,藏书翻卷,宗门氛围,普通,宗门内,1,练气,弟子于藏经阁翻阅古籍典册。,考校经文,弟子好感+2,无,任其研读,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC008,后山采药,宗门氛围,普通,宗门内,1,练气,后山新出一丛野生灵草。,带徒采药,弟子好感+2,无,标记留存,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC009,弟子对弈,宗门氛围,普通,宗门内,1,练气,两名弟子石桌对弈消遣。,旁观棋局,弟子好感+2,无,唤去修行,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC010,灵泉濯足,宗门氛围,普通,宗门内,1,练气,弟子于灵泉边濯足养神。,一同小憩,弟子好感+3,无,督促用功,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC011,观星夜话,宗门氛围,普通,宗门内,1,练气,夜间弟子聚观星象闲话。,讲星宿道,弟子好感+2,无,各回洞府,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC012,弟子抄经,宗门氛围,普通,宗门内,1,练气,弟子于廊下抄录经卷。,赠好笔砚,弟子好感+2,无,静观其成,无,无,,,,8,2160,false,,,,,,,monthly,日常
RC013,炼器叮当,宗门氛围,普通,宗门内,1,练气,器堂传来叮当锻打之声。,探视匠作,弟子好感+2,无,勿扰匠人,无,无,,,,8,2160,false,,,,,,,monthly,日常
