阶段,顺序,系统key,系统名,解锁条件类型,解锁条件参数,UI入口,首页入口id,设计意图,状态,锚点控件名
P0_开场,1,disciple_recruit,测灵招收,开局,0,page_disciple,弟子,收徒：给玩家第一个可操作决策（选谁入宗），建立弟子差异化第一印象,已接入,
P0_开场,2,hall_assign,堂口派遣,开局,0,page_building,殿阁,派活：让弟子产生可见产出，建立「我安排→有结果」的因果闭环,已接入,
P0_开场,3,cultivate_breakthrough,修炼突破,开局,0,page_disciple,弟子,第一次突破：给玩家第一个正反馈高潮（境界提升）,已接入,
P0_开场,4,topbar_generation,传承代数计数器,开局,0,top_bar,,长线卖点前置：第一眼就让玩家知道「这是会传代的宗门」,待接入,
P0_开场,5,world_landscape,天下舆图,开局,0,page_world_map_visual,天下,首屏不空：「天下」即天下舆图入口（原「山门」，B6 更名，X12 一义一名），一眼看见宗门之外的世界（保留常开，体验优先于解锁节奏）,已接入,
P0_开场,6,leaderboard,玄榜,开局,0,page_leaderboard,玄榜,常开：让玩家一眼看见同期宗门的位置感（来源统一：由隐式 fail-open 改为显式登记）,已接入,
P0_开场,7,codex,宗门典藏,开局,0,page_codex,宗门典藏,常开：图鉴沉淀与收集追求的入口（来源统一）,已接入,
P0_开场,8,fragment_chest,碎片宝箱,开局,0,page_fragment_chest,碎片宝箱,常开：碎片收集的出口（来源统一）,已接入,
P0_开场,9,atlas,宗门舆图,开局,0,page_atlas,宗门舆图,可发现性：全法门索引按四柱列出（治「知道自己错过了什么」+「忘了在哪」），零玩法零数值,已接入,
P1_首日,1,building_upgrade,殿阁营造,首次突破后,1,page_building,殿阁,首次资源投放决策：花灵石建什么，引入第一个 sink,已接入,
P1_首日,2,storage,库房背包,首次突破后,1,page_storage,库藏,让玩家看见产出沉淀，建立「积累」感,已接入,
P2_三日,1,alchemy,炼丹,门派等级,2,page_pill_formula,丹方,引入生产链：材料→丹药→战力,已接入,
P2_三日,2,forge,炼器,门派等级,2,page_equipment_blueprint,装备图纸,引入装备维度，让战力投资变得可见,已接入,
P3_七日,1,expedition,历练秘境,门派等级,3,page_explore,历练,引入风险与回报：派人出去可能死，第一次情绪波动,已接入,
P3_七日,2,quest_daily,日常差事,门派等级,3,page_quest,宗务,建立每日目标感，防「上线没事干」,已接入,
P3_七日,3,caravan,商队贸易,门派等级,3,page_merchant,商道,引入流通：产出可变现,已接入,
P3_七日,4,opportunity,机缘,门派等级,3,page_opportunity,机缘,机缘总览：跨系统通用资粮可见化（历练/探秘/游历/征伐/入山共用）,已接入,
P4_二周,1,auction,坊市拍卖,门派等级,4,page_auction,拍卖行,引入价格博弈与稀缺感,已接入,
P4_二周,2,family,家族血脉,门派等级,4,page_family,家族,长线核心：世代传承第一步（婚配/子嗣）,已接入,
P4_二周,3,chronicle,宗门史记,开局,0,page_chronicle,纪事,长线核心：让玩家看见自己造的历史,已接入,
P4_二周,4,poison_dao,毒道,门派等级,4,page_poison,毒道,毒医双修：生产与求生分支（毒道/毒体双线）,已接入,
P4_二周,5,guardian,护道人,门派等级,4,page_guardian,护道人,为超潜力/亲传/嫡系弟子配护道，降低意外损失,已接入,
P5_三周,1,fishing,灵钓,门派等级,5,page_fishing,闲情雅趣,休闲玩法解锁（每个须配套 sink，见经济专项）,已接入,
P5_三周,2,relic,探秘,门派等级,5,page_relic,闲情雅趣,休闲玩法解锁,已接入,
P5_三周,3,beast_raise,饲灵,门派等级,5,page_beast_raise,灵兽,休闲玩法解锁,已接入,
P5_三周,4,divine,卜算,门派等级,5,page_divine,闲情雅趣,休闲玩法解锁,已接入,
P5_三周,5,herb_garden,药圃,门派等级,5,page_herb_garden,药园,休闲玩法解锁,已接入,
P5_三周,6,chess,论道,门派等级,5,page_chess,论道棋弈,休闲玩法解锁,已接入,
P5_三周,7,brew,灵酿,门派等级,5,page_brew,灵酿,宗主亲为的养成向产出（酝造→宴席）,已接入,
P5_三周,8,music,音律,门派等级,5,page_music,音律,抚琴养性：宗主个人雅趣与灵潮,已接入,
P6_四周,1,zongmen_battle,宗门战,门派等级,6,page_zongmen_battle,宗门战,对外关系：冲突维度,已接入,
P6_四周,2,faction,阵营路线,门派等级,6,page_faction,阵营声望,正/魔/中立：长线分支与重玩价值,已接入,
P6_四周,3,achievement,功绩成就,门派等级,6,page_achievement,功绩堂,延迟解锁：避免成就系统一上来就用「待接入」空项劝退,已接入,
P6_四周,4,fengshui,风水堪舆,门派等级,6,page_fengshui,风水堪舆,堪舆寻灵眼：布局维度的长期追求,已接入,
P7_长线,1,ancestor_hall,先贤堂,第二世代开始,0,page_ancestor,祖师堂,世代传承高潮：前人庇荫后人,已接入,
P7_长线,2,feisheng,飞升与转世,第二世代开始,0,page_disciple,弟子,世代闭环：死亡不是终点,已接入,
P7_长线,3,ending,宗门结局,门派等级,10,,,宿命感与话题性，长线终极目标,待接入,
P7_长线,4,ascension_hall,飞升大典,第二世代开始,0,page_ascension,飞升,飞升前兆与飞升大典的独立落点（区别于「飞升与转世」的世代闭环）,已接入,
