mat_id,mat_name,grade,mat_type,usage_desc,obtain_way,stack_max,sell_price_ling,realm_correspond
mat_001,凡品灵草,凡品,灵草类,低阶丹药基础材料,新手灵田产出/山林采集,999,2,练气期地图
mat_002,百年灵草,灵品,灵草类,中阶丹药核心材料,一阶灵田产出/低阶秘境,999,8,筑基期地图
mat_003,三百年灵草,宝品,灵草类,高阶丹药核心材料,二阶灵田产出/中阶秘境,999,20,金丹期地图
mat_004,五百年灵草,王品,灵草类,极品丹药核心材料,三阶灵田产出/高阶秘境,999,50,元婴期地图
mat_005,千年灵草,圣品,灵草类,圣品丹药核心材料,四阶灵田产出/顶级秘境,999,120,化神期地图
mat_006,万年灵草,真品,灵草类,真阶丹药核心材料,五阶灵田产出/终极秘境,999,300,炼虚期地图
mat_007,十万年灵草,道品,灵草类,道阶丹药核心材料,混沌灵田产出/大道传承,999,800,合体期地图
mat_008,凡铁矿石,凡品,矿石类,低阶装备基础材料,矿场产出/山林开采,999,3,练气期地图
mat_009,精铁矿石,灵品,矿石类,中阶装备核心材料,一阶矿场产出/低阶秘境,999,10,筑基期地图
mat_010,百年玄铁,宝品,矿石类,高阶装备核心材料,二阶矿场产出/中阶秘境,999,25,金丹期地图
mat_011,千年玄铁,王品,矿石类,极品装备核心材料,三阶矿场产出/高阶秘境,999,60,元婴期地图
mat_012,万年玄铁,圣品,矿石类,圣品装备核心材料,四阶矿场产出/顶级秘境,999,150,化神期地图
mat_013,凡品灵布,凡品,织物类,低阶防具基础材料,灵桑田产出,999,2,练气期地图
mat_014,灵纹布,灵品,织物类,中阶防具核心材料,一阶灵桑田产出,999,9,筑基期地图
mat_015,金蚕丝,宝品,织物类,高阶防具核心材料,金蚕养殖/秘境掉落,999,22,金丹期地图
mat_016,玄冰蚕丝,王品,织物类,极品防具核心材料,玄冰蚕养殖/高阶秘境,999,55,元婴期地图
mat_017,妖兽血,凡品,妖兽类,低阶丹药/装备辅料,山林狩猎,999,2,练气期地图
mat_018,妖兽皮,凡品,妖兽类,低阶防具/符箓辅料,山林狩猎,999,3,练气期地图
mat_019,妖兽筋骨,灵品,妖兽类,中阶武器/傀儡辅料,妖兽山狩猎,999,10,筑基期地图
mat_020,狐火晶,宝品,妖兽类,火系丹药/法宝材料,火灵狐产出/秘境掉落,999,30,金丹期地图
mat_021,鹏羽,王品,妖兽类,飞行法宝/高级符箓材料,金翅鹏产出/高阶秘境,999,70,元婴期地图
mat_022,麒麟鳞,圣品,妖兽类,圣品装备/丹药核心材料,麒麟幼崽产出,999,200,化神期地图
mat_023,灵晶,灵品,晶石类,基础能量货币/阵法燃料,矿场副产/任务奖励,999,5,全境界通用
mat_024,玄晶,宝品,晶石类,高阶傀儡/阵法核心材料,高阶矿场副产,999,25,金丹期及以上
mat_025,圣晶,圣品,晶石类,圣级物品锻造核心,顶级矿场/秘境掉落,999,100,化神期及以上
mat_026,火焰晶石,宝品,晶石类,火系装备/丹药材料,火系秘境掉落,999,20,金丹期地图
mat_027,雷晶石,王品,晶石类,雷系功法/法宝材料,雷系秘境掉落,999,60,元婴期地图
mat_028,灵米,凡品,食材类,宗门日常消耗/丹药辅料,灵田产出,999,1,全境界通用
mat_029,筑基液,灵品,特殊材料,筑基期突破丹药核心,秘境掉落/商会兑换,999,15,筑基期
mat_030,元婴髓,王品,特殊材料,元婴期装备/丹药核心,高阶秘境/BOSS掉落,999,80,元婴期
mat_031,悟道花,圣品,特殊材料,化神突破丹药核心,顶级秘境/奇遇获取,999,180,化神期
mat_032,符文核心,宝品,特殊材料,傀儡制作核心部件,器堂制作/秘境掉落,999,35,金丹期及以上
