ai_id,ai_type,display_name,budget_mod,valuation_mod,lines
ai_shanghui,商会,万宝商盟,1.5,1.2,此物合该归我万宝商盟！|万某志在必得，尔等莫争！|万宝商盟出价，童叟无欺！|好物件！万宝商盟再加10%！|此物入我商盟，定能卖出好价钱！|万宝商盟从不做亏本买卖，这价值了！|加价！万宝商盟有的是灵石！|诸位承让，此物我万宝商盟要了！
ai_honglu,商会,红禄商会,1.3,1.1,红禄家业遍布九州，此物我要了！|哼，红禄商会从不空手而归！|加价！红禄压你一头！|红禄商会出价，诸位给个面子！|此物与我红禄有缘，还望诸位割爱！|红禄商会财大气粗，再加价又何妨！|好说好说，红禄再加五百灵石！|这物件红禄商会看上了，诸位莫要抢了！
ai_zongmen,宗门,玄铁宗,1.4,1.15,玄铁宗欲将此宝纳入镇派之藏！|我玄铁宗出价，谁敢争锋？|镇派之宝，玄铁宗志在必得！|玄铁宗弟子听令，再加价！|此物若入玄铁宗，定能光耀门楣！|玄铁宗底蕴深厚，还怕比不过诸位？|加价！玄铁宗从不缺灵石！|这宝物玄铁宗要定了，诸位请回吧！
ai_dandao,宗门,百草谷,1.35,1.25,百草谷只求此丹道之物，还望诸位成全！|丹道至宝，落入我百草谷才算物尽其用！|百草谷加价，此物与丹道有缘！|好丹材！百草谷愿出高价！|此物若入百草谷，定能炼出绝世仙丹！|百草谷虽不富裕，丹道之物却从不吝啬！|加价！为了丹道，百草谷豁出去了！|诸位道友，此物对百草谷至关重要，还望割爱！
ai_qidao,宗门,天工阁,1.4,1.2,天工阁求此器道之物，愿出高价！|器道至宝，唯我天工阁能识其真价值！|天工阁加价，此物合该归我！|好器物！天工阁眼馋已久！|此物入我天工阁，定能成为传世之作！|天工阁炼器百年，什么宝物没见过，这价值了！|加价！天工阁有的是灵石！|诸位承让，这器物天工阁要了！
ai_zhendao,宗门,天机阁,1.3,1.15,天机阁推演此宝与我等有缘，出价！|阵道之物，落入天机阁方能发挥最大效用！|天机阁加价，此物与阵法有缘！|好阵盘！天机阁愿出高价！|此物若入天机阁，定能布出绝世大阵！|天机阁虽人少，阵道之物却从不手软！|加价！为了阵道，天机阁拼了！|诸位道友，此物对天机阁至关重要，还望成全！
ai_lingshou,宗门,御兽宗,1.35,1.2,御兽宗求此灵兽相关之物，愿出高价！|灵兽至宝，唯我御兽宗能与之共鸣！|御兽宗加价，此物与灵兽有缘！|好灵兽！御兽宗眼馋已久！|此物入我御兽宗，定能培养出绝世灵兽！|御兽宗养兽百年，什么宝物没见过，这价值了！|加价！御兽宗有的是灵石！|诸位承让，这灵兽相关之物御兽宗要了！
ai_sanxiu1,散修,散修·墨尘,0.9,0.9,墨尘虽是散修，也欲一搏！|散修囊中羞涩，却偏不服！|墨尘加价，与诸位周旋到底！|好物件！墨尘虽穷，却也想开开眼！|此物若入墨尘之手，定能助我突破！|散修自由自在，加价何妨！|加价！墨尘就算倾家荡产也要一搏！|诸位道友，墨尘难得看上一件物件，还望成全！
ai_sanxiu2,散修,散修·苏眠,0.8,0.85,苏眠闲云野鹤，偶有所好便不惜灵石！|散修自在，加价何妨！|苏眠也想开开眼，添一注！|好物件！苏眠虽闲，却也眼馋！|此物若入苏眠之手，定能伴我云游四方！|散修无拘无束，想要就要！|加价！苏眠难得动心，豁出去了！|诸位道友，苏眠难得看上一件物件，还望割爱！
ai_sanxiu3,散修,散修·剑痴,1.0,0.95,剑痴只求剑道之物，其他一概不问！|剑道至宝，落入剑痴之手才算物尽其用！|剑痴加价，此物与剑有缘！|好剑！剑痴愿出高价！|此物若入剑痴之手，定能助我剑道大成！|剑痴一生求剑，剑道之物从不吝啬！|加价！为了剑道，剑痴倾家荡产也值！|诸位道友，此物对剑痴至关重要，还望成全！
ai_yaoguai,妖族,青丘狐族,1.2,1.1,青丘狐族出价，此物与我等有缘！|妖族至宝，落入青丘才算物尽其用！|青丘加价，诸位给个面子！|好物件！青丘狐族眼馋已久！|此物若入青丘，定能护我族周全！|青丘狐族底蕴深厚，还怕比不过诸位？|加价！青丘有的是灵石！|诸位承让，这物件青丘要了！
ai_haiwai,海外,蓬莱仙岛,1.45,1.25,蓬莱仙岛远道而来，只求此宝！|海外仙岛之物，落入蓬莱才算物归原主！|蓬莱加价，此物与仙岛有缘！|好宝物！蓬莱仙岛愿出高价！|此物若入蓬莱，定能成为镇岛之宝！|蓬莱仙岛虽远，宝物却从不缺席！|加价！蓬莱有的是仙石！|诸位道友，蓬莱远道而来，还望成全！
ai_guming,散修,孤鸣老人,1.1,1.05,孤鸣老人活了千年，难得看上一件物件！|老人家出价，诸位给个面子！|孤鸣加价，此物与我等有缘！|好物件！老人家眼馋已久！|此物若入孤鸣之手，定能伴我度过残年！|老人家虽老，灵石却不少！|加价！孤鸣老人拼了！|诸位小友，老人家难得动心，还望割爱！
