pet_id,pet_name,grade,sub_grade,pet_type,unlock_realm,active_skill,passive_buff,passive_value,daily_output,obtain_way,max_level,feed_cost_per_day,base_lifespan_year,skill_effect_type,skill_trigger_rate,skill_cooldown,skill_effect_value,is_skill_active,fallback_defense_bonus
pet_001,灵兔,凡品,下品,产出辅助,练气初期,低概率产出低级灵草,灵田产出提升,2%,凡品灵草×1,新手赠送/山林捕捉,10,2,5,,0,0,0,false,
pet_002,灵兔,凡品,中品,产出辅助,练气中期,低概率产出低级灵草,灵田产出提升,2.5%,凡品灵草×1,山林捕捉,12,3,6,,0,0,0,false,
pet_003,灵兔,凡品,上品,产出辅助,练气后期,中概率产出低级灵草,灵田产出提升,3%,凡品灵草×1+灵米×1,山林捕捉,15,4,7,,0,0,0,false,
pet_004,灵兔,凡品,极品,产出辅助,练气巅峰,中概率产出低级灵草,灵田产出提升,3.5%,凡品灵草×2,山林稀有捕捉,18,5,8,,0,0,0,false,
pet_005,灵鹤,灵品,下品,代步辅助,筑基初期,短距离快速飞行,外出任务速度提升,7%,鹤羽×1,山林驯服/秘境掉落,20,5,15,,0,0,0,false,
pet_006,灵鹤,灵品,中品,代步辅助,筑基中期,中距离快速飞行,外出任务速度提升,9%,鹤羽×1,山林驯服,23,6,17,,0,0,0,false,
pet_007,灵鹤,灵品,上品,代步辅助,筑基后期,长距离快速飞行,外出任务速度提升,11%,鹤羽×2,秘境掉落,26,7,20,,0,0,0,false,
pet_008,灵鹤,灵品,极品,代步辅助,筑基巅峰,长距离快速飞行,外出任务速度提升,13%,鹤羽×2+鹤魂晶×1,秘境稀有掉落,30,8,23,,0,0,0,false,
pet_009,玄甲兽,灵品,下品,驮运防御,筑基初期,驮运货物抵御低阶袭击,商队货损降低,3%,玄甲片×1,妖兽山驯服,20,8,18,,0,0,0,false,
pet_010,玄甲兽,灵品,上品,驮运防御,筑基后期,驮运货物抵御中阶袭击,商队货损降低,5%,玄甲片×1,妖兽山驯服,26,11,22,,0,0,0,false,
pet_011,青纹狼,灵品,下品,战斗辅助,筑基初期,撕咬敌方造成物理伤害,战斗攻击力提升,4%,狼皮×1,山林驯服/秘境掉落,20,7,16,,0,0,0,false,
pet_012,青纹狼,灵品,极品,战斗辅助,筑基巅峰,撕咬敌方造成物理伤害,战斗攻击力提升,7%,狼皮×2,秘境精英掉落,30,10,20,,0,0,0,false,
pet_013,火灵狐,宝品,下品,丹道辅助,金丹初期,狐火助燃提升炼丹效率,炼丹成功率提升,3%,狐火晶×1,秘境收服/奇遇获取,30,15,30,,0,0,0,false,
pet_014,火灵狐,宝品,中品,丹道辅助,金丹中期,狐火助燃提升炼丹效率,炼丹成功率提升,4%,狐火晶×1,秘境收服,35,18,35,,0,0,0,false,
